product_type,brand,model,sku,discount_percent,regular_price_sar,sale_price_sar,ai_enabled,color,cpu_clock,os,ram,screen_refresh_rate_hz,screen_size_inch,screen_type,special_features,storage,weight_kg,product_url,sim_slots
Tablet - Wi-Fi (with Clear Case Cover),Lenovo,Tab Plus,636984,25%,1199,899,AI Enabled,Luna Grey,2.2 GHz,Android 14,8 GB RAM,2K IPS AG 400N 90 Hz,"11.5""",2000 X 1200 Pixels,Low Blue Light,256 GB eMMC 5.1,650.00 g ( 1.43 lb ),https://www.jarir.com/sa-en/lenovo-tab-plus-tablet-pc-636984.html,
Tablet - 4G (with Case Cover),Honor,Pad X8a,644349,33%,899,599,,Space Grey,4X 2.4 (Cortex A73) + 4X 1.9 (Cortex A53) GHz,Android 14,4 GB RAM,IPS-LCD Touchscreen,"11""",1920 X 1200 Pixels,MagicOS 8.0,128 GB,.50 kg ( 1.10 lb ),https://www.jarir.com/sa-en/honor-pad-x8a-tablet-pc-644349.html,1 SIM
Tablet - Wi-Fi (with Samsung S Pen),Samsung,Galaxy Tab S10 FE+,656240,10%,2899,2599,,Grey,2.9 GHz + 2.6 GHz + 1.95 GHz,Android 15,12 GB RAM,TFT-LCD Touchscreen,"13.1""",2880 X 1800 Pixels,"90 Hz Display, S Pen",256 GB,674.00 g ( 1.49 lb ),https://www.jarir.com/sa-en/samsung-galaxy-tab-s10-fe-tablet-pc-656240.html,
Tablet - Wi-Fi (with Samsung S Pen),Samsung,Galaxy Tab S10 FE,656188,15%,1999,1699,,Blue,2.9 GHz + 2.6 GHz + 1.95 GHz,Android 15,8 GB RAM,TFT-LCD Touchscreen,"10.9""",2304 X 1440 Pixels,"90 Hz Display, S Pen",128 GB,520.00 g ( 1.15 lb ),https://www.jarir.com/sa-en/samsung-galaxy-tab-s10-fe-tablet-pc-656188.html,
Tablet - Wi-Fi (with Samsung S Pen),Samsung,Galaxy Tab S10 FE,656222,15%,1999,1699,,Grey,2.9 GHz + 2.6 GHz + 1.95 GHz,Android 15,8 GB RAM,TFT-LCD Touchscreen,"10.9""",2304 X 1440 Pixels,"90 Hz Display, S Pen",128 GB,520.00 g ( 1.15 lb ),https://www.jarir.com/sa-en/samsung-galaxy-tab-s10-fe-tablet-pc-656222.html,
Tablet - Wi-Fi (with Samsung S Pen),Samsung,Galaxy Tab S10 FE+,656238,12%,2499,2199,,Grey,2.9 GHz + 2.6 GHz + 1.95 GHz,Android 15,8 GB RAM,TFT-LCD Touchscreen,"13.1""",2880 X 1800 Pixels,"90 Hz Display, S Pen",128 GB,674.00 g ( 1.49 lb ),https://www.jarir.com/sa-en/samsung-galaxy-tab-s10-fe-tablet-pc-656238.html,
Tablet - Wi-Fi (with Samsung S Pen),Samsung,Galaxy Tab S10 FE,656224,13%,2299,1999,,Grey,2.9 GHz + 2.6 GHz + 1.95 GHz,Android 15,12 GB RAM,TFT-LCD Touchscreen,"10.9""",2304 X 1440 Pixels,"90 Hz Display, S Pen",256 GB,520.00 g ( 1.15 lb ),https://www.jarir.com/sa-en/samsung-galaxy-tab-s10-fe-tablet-pc-656224.html,
Tablet - Wi-Fi (with Samsung S Pen),Samsung,Galaxy Tab S10 FE+,656225,12%,2499,2199,,Blue,2.9 GHz + 2.6 GHz + 1.95 GHz,Android 15,8 GB RAM,TFT-LCD Touchscreen,"13.1""",2880 X 1800 Pixels,"90 Hz Display, S Pen",128 GB,674.00 g ( 1.49 lb ),https://www.jarir.com/sa-en/samsung-galaxy-tab-s10-fe-tablet-pc-656225.html,
Tablet - 4G,Samsung,Galaxy Tab A9,626615,37%,749,469,,Navy,2.2 + 2.0 GHz,Android OS,4 GB RAM,FHD-LCD Touchscreen,"8.7""",1340 X 800 Pixels,"Dolby Atmos, Quick Share",64 GB,333.00 g ( 11.75 oz ),https://www.jarir.com/sa-en/samsung-tablet-pc-626615.html,1 SIM
Tablet - 4G,Samsung,Galaxy Tab A9,626626,37%,749,469,,Graphite,2.2 + 2.0 GHz,Android OS,4 GB RAM,FHD-LCD Touchscreen,"8.7""",1340 X 800 Pixels,"Dolby Atmos, Quick Share",64 GB,333.00 g ( 11.75 oz ),https://www.jarir.com/sa-en/samsung-tablet-pc-626626.html,1 SIM
